KM;Z_1;time
0;171.6012573;2022-07-07T15:01:00Z
0.1;173.6204376;2022-07-07T15:01:05Z
0.2;178.8031769;2022-07-07T15:01:10Z
0.3;178.3404694;2022-07-07T15:01:15Z
0.4;174.7283325;2022-07-07T15:01:20Z
0.5;173.9744568;2022-07-07T15:01:25Z
0.6;172.2966766;2022-07-07T15:01:30Z
0.7;169.234787;2022-07-07T15:01:35Z
0.8;169.8251343;2022-07-07T15:01:40Z
0.9;168.6299438;2022-07-07T15:01:45Z
1;168.5531311;2022-07-07T15:01:50Z
1.1;169.3381653;2022-07-07T15:02:00Z
1.2;168.8665619;2022-07-07T15:02:05Z
1.3;170.5435181;2022-07-07T15:02:10Z
1.4;171.2615051;2022-07-07T15:02:15Z
1.5;177.1684875;2022-07-07T15:02:20Z
1.6;174.3306274;2022-07-07T15:02:25Z
1.7;179.4411316;2022-07-07T15:02:30Z
1.8;179.0022888;2022-07-07T15:02:35Z
1.9;177.4117584;2022-07-07T15:02:40Z
2;174.6048737;2022-07-07T15:02:45Z
2.1;176.710968;2022-07-07T15:02:50Z
2.2;177.9646912;2022-07-07T15:02:55Z
2.3;182.3748474;2022-07-07T15:03:00Z
2.4;184.0812531;2022-07-07T15:03:05Z
2.5;178.2518311;2022-07-07T15:03:10Z
2.6;175.6242676;2022-07-07T15:03:15Z
2.7;174.5464325;2022-07-07T15:03:20Z
2.8;167.4511566;2022-07-07T15:03:25Z
2.9;170.638855;2022-07-07T15:03:30Z
3;167.5063782;2022-07-07T15:03:35Z
3.1;169.4542847;2022-07-07T15:03:40Z
3.2;173.0354614;2022-07-07T15:03:45Z
3.3;166.9124908;2022-07-07T15:03:50Z
3.4;168.4189453;2022-07-07T15:03:55Z
3.5;172.2502899;2022-07-07T15:04:00Z
3.6;171.3211365;2022-07-07T15:04:05Z
3.7;171.7855835;2022-07-07T15:04:10Z
3.8;173.589447;2022-07-07T15:04:15Z
3.9;178.3072662;2022-07-07T15:04:20Z
4;179.7869263;2022-07-07T15:04:25Z
4.1;181.8068695;2022-07-07T15:04:30Z
